catchment,water_body,description
An Giang,Sông Rạch Sỏi,"Sông Rạch Sỏi (tên khác: Kênh Rạch Sỏi-Vàm Cống) là một con sông đổ ra Vịnh Thái Lan. Sông có chiều dài 60 km và diện tích lưu vực là km². Sông Rạch Sỏi chảy qua các tỉnh Kiên Giang, An Giang, Cần Thơ."
An Giang,Sông Sa Đéc,"Sông Sa Đéc là một con sông chảy từ Sông Hậu và đổ ra Sông Tiền. Sông có chiều dài 51 km và diện tích lưu vực là km². Sông Sa Đéc chảy qua các tỉnh An Giang, Đồng Tháp, Vĩnh Long và Tiền Giang."
An Giang,Sông Bình Di,"Sông Bình Di là một trong hai chi lưu của sông Hậu khi vào địa phận Việt Nam tại huyện An Phú, thuộc tỉnh An Giang."
An Giang,Sông Châu Đốc,"Sông Châu Đốc là một con sông thuộc tỉnh An Giang, Việt Nam."
An Giang,Sông Tiền,Sông Tiền hay Tiền Giang là tên gọi của dòng chính sông Mê Kông khi chảy vào lãnh thổ Việt Nam.
An Giang,Kênh Tri Tôn,"Kênh Tri Tôn (tên khác: Kênh Vĩnh Tre) là một con kênh đổ ra Sông Hậu. Kênh có chiều dài 63 km. Kênh Tri Tôn chảy qua các tỉnh Kiên Giang, An Giang."
An Giang,Kênh Thoại Hà,"Kênh Thoại Hà ( chữ Hán : 瑞河) còn có các tên: kênh Tam Khê, kênh Đông Xuyên hay Đông Xuyên Cảng đạo, nối rạch Long Xuyên (có khi gọi là sông, tên cũ là rạch Đông Xuyên, thuộc tỉnh An Giang ) với hệ thống thủy đạo ở Rạch Giá ( Kiên Giang ). Đây là một công trình thoát lũ đầu tiên của nhà Nguyễn ở đồng bằng sông Cửu Long, Việt Nam."
An Giang,Sông Vàm Nao,"Sông Vàm Nao (do gọi trại từ tiếng Khmer là pãm pênk nàv ) là một dòng sông tại tỉnh An Giang, nối sông Tiền với sông Hậu, có vai trò quan trọng đối với đồng bằng sông Cửu Long về mặt thủy lợi và giao thông vận tải. Ngoài ra, Vàm Nao còn nổi tiếng vì từng là nơi ""nước xoáy tròn"", là nơi xảy ra trận thủy chiến khốc liệt giữa quân Việt và quân Xiêm vào cuối năm 1833 và còn vì các đặc sản như cá hô, cá bông lau, đây là dòng sông nổi tiếng vì có các loài cá có kích thước lớn sinh sống trước đây."
An Giang,Kênh Vĩnh Tế,"Kênh Vĩnh Tế là một con kênh chảy qua địa phận hai tỉnh An Giang và Kiên Giang, thuộc vùng Đồng bằng sông Cửu Long. Kênh Vĩnh Tế cùng với kênh Nhà Lê là những kênh đào lớn nhất trong lịch sử Việt Nam thời quân chủ."
Bạc Liêu,Kênh Cạnh Đền – Phó Sinh,"Kênh Cạnh Đền – Phó Sinh là một con kênh đổ ra Kênh Xáng Quản Lộ – Phụng Hiệp. Sông có chiều dài 21 km và diện tích lưu vực là km². Kênh Cạnh Đền – Phó Sinh chảy qua các tỉnh Bạc Liêu, Kiên Giang."
Bạc Liêu,Kênh Chợ Hội,"Kênh Chợ Hội là một con sông đổ ra Kênh Xáng Quản Lộ - Phụng Hiệp. Sông có chiều dài 11 km và diện tích lưu vực là km². Kênh Chợ Hội chảy qua các tỉnh Bạc Liêu, Cà Mau."
Bạc Liêu,Kênh Láng Trâm,"Kênh Láng Trâm là một con sông đổ ra Kênh Xáng Cà Mau - Bạc Liêu. Sông có chiều dài 29 km và diện tích lưu vực là km². Kênh Láng Trâm chảy qua các tỉnh Bạc Liêu, Cà Mau."
Bạc Liêu,Kênh Ngan Dừa – Cầu Sập,"Kênh Ngan Dừa - Cầu Sập là một con sông đổ ra Kênh Xáng Cà Mau - Bạc Liêu. Sông có chiều dài 44 km và diện tích lưu vực là km². Kênh Ngan Dừa - Cầu Sập chảy qua các tỉnh Bạc Liêu, Sóc Trăng."
Bạc Liêu,Rạch Ngã Ba Đình,"Rạch Ngã Ba Đình là một con sông đổ ra Sông Ngã Ba Cái Tàu. Sông có chiều dài 35 km và diện tích lưu vực là km². Rạch Ngã Ba Đình chảy qua các tỉnh Bạc Liêu, Kiên Giang."
Bạc Liêu,Sông Ngã Ba Cái Tàu,"Sông Ngã Ba Cái Tàu là một con sông đổ ra Sông Cái Lớn. Sông có chiều dài 72 km và diện tích lưu vực là km². Sông Ngã Ba Cái Tàu chảy qua các tỉnh Bạc Liêu, Hậu Giang, Kiên Giang."
Bạc Liêu,Sông Gành Hào,"Sông Gành Hào là một con sông chảy qua hai tỉnh Cà Mau và Bạc Liêu, Việt Nam."
Bạc Liêu,Kênh Tám Chục Thước,"Kênh Tám Chục Thước (tên khác: Kênh 6) là một con kênh đổ ra Kênh Xáng Quản Lộ - Phụng Hiệp. Kênh có chiều dài 21 km. Kênh Tám Chục Thước chảy qua các tỉnh Bạc Liêu, Cà Mau, Kiên Giang."
Bạc Liêu,Rạch Vàm Lẽo,"Rạch Vàm Lẽo (tên khác: Rạch Cà Mau) là một con sông đổ ra Sông Bạc Liêu. Sông có chiều dài 38 km và diện tích lưu vực là km². Rạch Vàm Lẽo chảy qua các tỉnh Bạc Liêu, Sóc Trăng."
Bạc Liêu,Kênh Xáng Cà Mau – Bạc Liêu,"Kênh Xáng Cà Mau - Bạc Liêu là một con kênh đổ ra Sông Mỹ Thanh. Kênh có chiều dài 103 km. Kênh Xáng Cà Mau - Bạc Liêu chảy qua các tỉnh Bạc Liêu, Sóc Trăng, Cà Mau."
Bạc Liêu,Kênh Xáng Quản Lộ – Phụng Hiệp,"Kênh Xáng Quản Lộ – Phụng Hiệp là một con kênh đổ ra Sông Gành Hào. Kênh có chiều dài 121 km. Kênh Xáng Quản Lộ – Phụng Hiệp chảy qua các tỉnh Hậu Giang, Sóc Trăng, Bạc Liêu, Cà Mau."
Bà Rịa – Vũng Tàu,Suối Cầu Vạc,"Suối Cầu Vạc (tên khác: Suối Le) là một con suối đổ ra Sông Thị Vải. Suối có chiều dài 27 km và diện tích lưu vực là 99 km². Suối Cầu Vạc chảy qua các tỉnh Đồng Nai, Bà Rịa - Vũng Tàu."
Bà Rịa – Vũng Tàu,Sông Đu Đủ,"Sông Đu Đủ (tên khác: Sông Chùa, Suối Tà Răng) là một con sông đổ ra Biển Đông. Sông có chiều dài 27 km và diện tích lưu vực là 180 km². Sông Đu Đủ chảy qua các tỉnh Bà Rịa - Vũng Tàu, Bình Thuận."
Bà Rịa – Vũng Tàu,Suối Đá Vàng,"Suối Đá Vàng là một con suối đổ ra Suối Cầu Vạc. Suối có chiều dài 10 km và diện tích lưu vực là 17 km². Suối Đá Vàng chảy qua các tỉnh Đồng Nai, Bà Rịa - Vũng Tàu."
Bà Rịa – Vũng Tàu,Suối Sóc,"Suối Sóc là một con suối đổ ra Sông Thị Vải. Suối có chiều dài 17 km và diện tích lưu vực là 18 km². Suối Sóc chảy qua các tỉnh Đồng Nai, Bà Rịa - Vũng Tàu."
Bà Rịa – Vũng Tàu,Sông Dinh (Bà Rịa – Vũng Tàu),Sông Dinh là một con sông tại tỉnh Bà Rịa-Vũng Tàu
Bà Rịa – Vũng Tàu,Sông Ray,Sông Ray là một con sông chảy giữa hai tỉnh Đồng Nai và Bà Rịa - Vũng Tàu.
Bà Rịa – Vũng Tàu,Sông Thị Vải,Sông Thị Vải là con sông chảy qua và làm ranh giới tự nhiên giữa Đồng Nai và Bà Rịa – Vũng Tàu. Đoạn hạ lưu từ chỗ sông Gò Gia hợp lưu với Thị Vải ra tới biển còn gọi là sông Cái Mép.
Bà Rịa – Vũng Tàu,Sông Tầm Bó,"Sông Tầm Bó là một con sông đổ ra Sông Ray. Sông có chiều dài 15 km và diện tích lưu vực là 82 km². Sông Tầm Bó chảy qua các tỉnh Đồng Nai, Bà Rịa - Vũng Tàu."
Bà Rịa – Vũng Tàu,Suối Tròng,"Suối Tròng là một con suối đổ ra Sông Ray. Suối có chiều dài 36 km và diện tích lưu vực là 138 km². Suối Tròng chảy qua các tỉnh Đồng Nai, Bà Rịa - Vũng Tàu."
Bắc Giang,Suối Cầm,"Suối Cầm là một con suối đổ ra Sông Đinh Đèn. Suối có chiều dài 35 km và diện tích lưu vực là 207 km². Suối Cầm chảy qua các tỉnh Bắc Giang, Lạng Sơn."
Bắc Giang,Sông Cầu,"Sông Cầu (còn gọi là sông Như Nguyệt, sông Phú Lương (Phú Lương Giang, 富良江), sông Thị Cầu, sông Nguyệt Đức hay mỹ danh dòng sông quan họ ), là con sông quan trọng nhất trong hệ thống sông Thái Bình, sông nằm lọt trong vùng Đông Bắc Việt Nam."
Bắc Giang,Suối Cầu Đen,"Suối Cầu Đen là một con suối đổ ra Ngòi Phú Khê. Suối có chiều dài 15 km và diện tích lưu vực là 26 km². Suối Cầu Đen chảy qua các tỉnh Bắc Giang, Thái Nguyên."
Bắc Giang,Suối Diên,"Suối Diên là một con suối đổ ra Sông Sỏi. Suối có chiều dài 18 km và diện tích lưu vực là 57 km². Suối Diên chảy qua các tỉnh Bắc Giang, Thái Nguyên."
Bắc Giang,Sông Đinh Đèn,"Sông Đinh Đèn là một con sông đổ ra Sông Lục Nam. Sông có chiều dài 99 km và diện tích lưu vực là 714 km². Sông Đinh Đèn chảy qua các tỉnh Bắc Giang, Lạng Sơn."
Bắc Giang,Sông Hóa (Lạng Sơn – Bắc Giang),"Sông Hóa là phụ lưu cấp 1 của Sông Thương, chảy ở các tỉnh Bắc Giang, Lạng Sơn. Sông có chiều dài 47 km và diện tích lưu vực là 382 km²."
Bắc Giang,Suối Làng Nõn,Suối Làng Nõn (tên khác: Suối Mỏ) là một con suối đổ ra Sông Đinh Đèn. Suối có chiều dài 33 km và diện tích lưu vực là 137 km². Suối Làng Nõn chảy qua các tỉnh.
Bắc Giang,Sông Lục Ngạn,"Sông Lục Nam (còn gọi là sông Lục, sông Minh Đức hay sông Chũ ) là một phụ lưu của sông Thương, chảy qua hai tỉnh Lạng Sơn và Bắc Giang, Việt Nam."
Bắc Giang,Sông Lục Nam,"Sông Lục Nam (còn gọi là sông Lục, sông Minh Đức hay sông Chũ ) là một phụ lưu của sông Thương, chảy qua hai tỉnh Lạng Sơn và Bắc Giang, Việt Nam."
Bắc Giang,Suối Mỏ Hương,"Suối Mỏ Hương là một con suối đổ ra Sông Sỏi. Suối có chiều dài 11 km và diện tích lưu vực là 28 km². Suối Mỏ Hương chảy qua các tỉnh Bắc Giang, Lạng Sơn."
Bắc Giang,Sông Máng,"Sông Máng là một sông nhân tạo tại Việt Nam. Sông được hình thành từ thời Pháp thuộc và có chiều dài 52 km. Sông Máng nối với sông Cầu tại khu vực gần thác Huống (đập Huống) tại khu vực trung tâm tỉnh Thái Nguyên và nối với sông Thương tại Bến Thôn thuộc khu vực tây bắc tỉnh Bắc Giang. Sông Máng là một hệ thống kênh dùng cho cả mục đích nông nghiệp và giao thông, phục vụ chủ yếu cho huyện Phú Bình (Thái Nguyên) và huyện Tân Yên (Bắc Giang), các kênh dẫn nhỏ của sông cũng phục vụ tưới tiêu cho nhiều khu vực khác trong tỉnh Bắc Giang. Trên sông có một hệ thống âu thuyền được xây dựng từ những năm 20 của thế kỉ 20 để đưa thuyền bè từ Bắc Giang và các tỉnh đồng bằng tới Thái Nguyên."
Bắc Giang,Ngòi Phú Khê,"Ngòi Phú Khê là một con sông đổ ra Sông Thương. Sông có chiều dài 34 km và diện tích lưu vực là 146 km². Ngòi Phú Khê chảy qua các tỉnh Bắc Giang, Thái Nguyên."
Bắc Giang,Sông Sỏi,"Sông Sỏi là một phụ lưu của sông Thương chảy ở huyện Đồng Hỷ tỉnh Thái Nguyên và huyện Yên Thế tỉnh Bắc Giang, Việt Nam."
Bắc Giang,Sông Thái Bình,"Sông Thái Bình còn gọi là sông Hàm Giang hay sông Phú Lương là một con sông lớn trong hệ thống sông ở miền Bắc Việt Nam, cùng với hệ thống sông Hồng là 2 hệ thống sông chính của đồng bằng sông Hồng. Mặc dù tên sông trùng với tên tỉnh Thái Bình nhưng sông không chảy qua tỉnh này, nó chỉ chảy bên 2 xã An Tân và Thụy Trường thuộc huyện Thái Thụy, Thái Bình với chiều dài gần 5 km, là quá ngắn so với chiều dài qua các tỉnh Bắc Giang, Bắc Ninh, Hải Dương và Hải Phòng. Sông Thái Bình là tên gọi của hai đoạn sông chính trong hệ thống sông Thái Bình."
Bắc Giang,Ngòi Triệu,"Ngòi Triệu là một con sông đổ ra Sông Thương. Sông có chiều dài 16 km. Ngòi Triệu chảy qua các tỉnh Hải Dương, Bắc Giang."
Bắc Giang,Sông Thương,"Sông Thương hay sông Nhật Đức (xưa còn gọi là sông Nam Bình, sông Lạng Giang, sông Long Nhỡn) là một phụ lưu của sông Thái Bình, là một sông lớn chảy qua các tỉnh Lạng Sơn, Bắc Giang, Hải Dương."
Bắc Giang,Suối Vực Ngườm,Suối Vực Ngườm (tên khác: Suối Cấm Thù) là một con suối đổ ra Sông Hóa.
Bắc Kạn,Bắc Giang (sông Việt Nam),Sông Bắc Giang là một phụ lưu của sông Kỳ Cùng.
Bắc Kạn,Nậm Cung,"Nậm Cung là một phụ lưu của Sông Minh Khai. Nậm Cung chảy qua các tỉnh Cao Bằng và Bắc Kạn, Việt Nam."
Bắc Kạn,Sông Hà Hiệu,"Sông Hà Hiệu là phụ lưu của sông Năng trong mạng lưới sông Gâm, chảy ở huyện Ba Bể tỉnh Bắc Kạn, Việt Nam."
Bắc Kạn,Khuổi Quãng,"Khuổi Quãng là một con sông đổ ra Sông Gâm. Khuổi Quãng chảy qua các tỉnh Tuyên Quang, Bắc Kạn."
Bắc Kạn,Sông Minh Khai,"Sông Minh Khai là phụ lưu của sông Hiến, chảy ở tỉnh Bắc Kạn và Cao Bằng, Việt Nam. Sông có chiều dài 58 km. Diện tích lưu vực là 447 km².."
Bắc Kạn,Sông Nà Rì,"Sông Nà Rì hay Sông Na Rì là phụ lưu của sông Bắc Giang bắt nguồn từ vùng núi cao 850m của xã Yên Cư (huyện Chợ Mới) chảy theo hướng Tây Nam - Đông Bắc qua các xã Đổng Xá, Xuân Dương, Dương Sơn, Trần Phú, Văn Minh (huyện Na Rì, tỉnh Bắc Kạn ) và gặp sông Bắc Giang tại Pác Cáp, xã Sơn Thành, huyện Na Rì, tỉnh Bắc Kạn, Việt Nam."
Bắc Kạn,Sông Năng,Sông Năng là một dòng sông tại miền bắc Việt Nam. Sông được hợp thành từ nhiều khe suối nhỏ thuộc hai huyện Bảo Lạc và Bảo Lâm của tỉnh Cao Bằng và huyện Pác Nặm thuộc tỉnh Bắc Kạn.
Bắc Kạn,Sông Phó Đáy,"Sông Phó Đáy là một phụ lưu bên tả ngạn của sông Lô, có thượng lưu và trung lưu chảy trên địa bàn vùng núi và trung du phía Bắc, còn hạ lưu chảy trên địa bàn tỉnh Vĩnh Phúc."
Bắc Kạn,Sông Cầu,"Sông Cầu (còn gọi là sông Như Nguyệt, sông Phú Lương (Phú Lương Giang, 富良江), sông Thị Cầu, sông Nguyệt Đức hay mỹ danh dòng sông quan họ ), là con sông quan trọng nhất trong hệ thống sông Thái Bình, sông nằm lọt trong vùng Đông Bắc Việt Nam."
Bắc Kạn,Sông Tà Cáy,"Sông Tà Cáy, còn có tên là khuổi Các, là sông chảy ở các tỉnh Bắc Kạn và Cao Bằng, Việt Nam."
Bắc Ninh,Sông Cẩm Giàng,"Sông Cẩm Giàng là một con sông đổ ra Sông Kẻ Sặt. Sông có chiều dài 26 km. Sông Cẩm Giàng chảy qua các tỉnh Bắc Ninh, Hưng Yên, Hải Dương."
Bắc Ninh,Sông Cà Lồ,"Sông Cà Lồ (歌盧, còn gọi là sông Phủ Lỗ ) là một phụ lưu của sông Cầu và từng là một phân lưu của sông Hồng. Nó vốn tách ra khỏi sông Hồng ở xã Trung Hà, huyện Yên Lạc, Vĩnh Phúc và hợp lưu với sông Cầu tại ngã ba Xà, xã Tam Giang, huyện Yên Phong, tỉnh Bắc Ninh, khoảng 15 km về phía nam nơi sông Công hợp lưu với sông Cầu. Tuy nhiên đoạn đầu nguồn của Cà Lồ (chỗ phân lưu khỏi sông Hồng) đã bị bịt vào đầu thế kỷ 20, nên sông Cà Lồ hiện nay không còn nối với sông Hồng. Đầu nguồn sông Cà Lồ hiện nay ở huyện Mê Linh ( Hà Nội ) và nguồn nước của sông chủ yếu là từ các dòng suối từ dãy núi Tam Đảo. Sông Cà Lồ tạo thành ranh giới tự nhiên giữa huyện Sóc Sơn với các huyện Mê Linh, Đông Anh (Hà Nội) và giữa huyện Sóc Sơn với huyện Yên Phong (tỉnh Bắc Ninh). Toàn chiều dài của sông là 89 km, trong đó đoạn trên địa bàn Vĩnh Phúc dài 27 km."
Bắc Ninh,Sông Cầu,"Sông Cầu (còn gọi là sông Như Nguyệt, sông Phú Lương (Phú Lương Giang, 富良江), sông Thị Cầu, sông Nguyệt Đức hay mỹ danh dòng sông quan họ ), là con sông quan trọng nhất trong hệ thống sông Thái Bình, sông nằm lọt trong vùng Đông Bắc Việt Nam."
Bắc Ninh,Sông Đuống,"Sông Đuống, tên chữ gọi là sông Thiên Đức hay Thiên Đức Giang, là một con sông dài 68 km, nối sông Hồng với sông Thái Bình. Sông Đuống là 1 nhánh chảy của sông Hồng, nhưng là phụ lưu của sông Thái Bình."
Bắc Ninh,Sông Ngụ,"Sông Ngụ trước kia là một nhánh sông Thiên Đức chảy sang sông Thái Bình với lòng sông rộng, buôn bán tấp nập trên bến dưới thuyền hình thành nên nhiều trung tâm kinh tế lâu đời như: Hồ, Đông Côi, Bưởi, Ngụ, Thứa, Đò. Nhưng nay nhiều đoạn sông bị lấp, toàn lòng sông bị thu hẹp ; dòng chính của sông chỉ còn lưu thông được trên 26 km từ cửa Bưởi (Đại Bái, Gia Bình) tới cửa Nhất Trai (Minh Tân, Lương Tài) cùng 2 phụ lưu là sông Thứa và sông Đồng Khởi."
Bắc Ninh,Sông Dâu,"Sông Dâu là một dòng sông cổ tại vùng Thuận Thành, Bắc Ninh. Sông hiện nay đã cạn nhiều, vết tích còn lại là những con ngòi hẹp, ao hồ đứt quãng, chỉ một vài khúc còn dòng chảy. Sông Dâu gắn liền với sự phát triển của vùng Dâu - Luy Lâu, thủ phủ của chính quyền cai trị phương Bắc thời Bắc thuộc và trung tâm Phật giáo đầu tiên ở Việt Nam."
Bắc Ninh,Sông Ngũ Huyện Khê,"Ngũ Huyện Khê là một chi lưu của sông Đuống, nó bắt nguồn từ địa phận ranh giới giữa xã Xuân Canh và Đông Hội thuộc huyện Đông Anh, thành phố Hà Nội và chảy vào tỉnh Bắc Ninh tại phường Châu Khê, thành phố Từ Sơn. Cuối cùng, sông Ngũ Huyện Khê đổ vào sông Cầu tại phường Hoà Long, thành phố Bắc Ninh."
Bắc Ninh,Sông Thái Bình,"Sông Thái Bình còn gọi là sông Hàm Giang hay sông Phú Lương là một con sông lớn trong hệ thống sông ở miền Bắc Việt Nam, cùng với hệ thống sông Hồng là 2 hệ thống sông chính của đồng bằng sông Hồng. Mặc dù tên sông trùng với tên tỉnh Thái Bình nhưng sông không chảy qua tỉnh này, nó chỉ chảy bên 2 xã An Tân và Thụy Trường thuộc huyện Thái Thụy, Thái Bình với chiều dài gần 5 km, là quá ngắn so với chiều dài qua các tỉnh Bắc Giang, Bắc Ninh, Hải Dương và Hải Phòng. Sông Thái Bình là tên gọi của hai đoạn sông chính trong hệ thống sông Thái Bình."
Bến Tre,Sông Cổ Chiên,"Sông Cổ Chiên là một phân lưu của sông Tiền, dài khoảng 82 km, làm thành ranh giới tự nhiên giữa các tỉnh Vĩnh Long và Trà Vinh với Bến Tre."
Bến Tre,Sông Ba Lai,"Sông Ba Lai là một con sông lớn tại tỉnh Bến Tre, là ranh giới tự nhiên giữa cù lao An Hóa và cù lao Bảo."
Bến Tre,Sông Bến Tre,"Sông Bến Tre là một con sông nhỏ tại tỉnh Bến Tre."
Bến Tre	Sông Hàm Luông,"Sông Hàm Luông là một phân lưu của sông Tiền chảy qua tỉnh Bến Tre."
Bến Tre,Sông Mỹ Tho,"Sông Mỹ Tho là một phân lưu của sông Tiền ở miền Nam Việt Nam, bắt đầu từ chỗ phân nhánh ở chót cù lao Minh, ngang Vĩnh Long cho đến cửa Đại."
Bến Tre,Sông Tiền,"Sông Tiền hay Tiền Giang là tên gọi của dòng chính sông Mê Kông khi chảy vào lãnh thổ Việt Nam."
Bình Dương,Rạch Bé,"Rạch Bé (tên khác: Suối Phê, Suối Ba, Suối Pa Pếch) là một con suối đổ ra Suối Rạc. Sông có chiều dài 47 km và diện tích lưu vực là 119 km². Rạch Bé chảy qua các tỉnh Bình Phước, Bình Dương."
Bình Dương,Sông Bé,"Sông Bé là một con sông chảy qua các tỉnh Đắk Nông, Bình Phước, Bình Dương và Đồng Nai.Thượng lưu sông Bé còn có tên khác là sông Đăk G'lun."
Bình Dương,Sông Đồng Nai,"Sông Đồng Nai là con sông nội địa dài nhất Việt Nam, lớn thứ 2 Nam Bộ về lưu vực, chỉ sau sông Cửu Long. Sông Đồng Nai chảy qua các tỉnh Lâm Đồng, Đắk Nông, Bình Phước, Đồng Nai, Bình Dương, Thành phố Hồ Chí Minh với chiều dài 586 km và lưu vực 38.600 km²."
Bình Dương,Suối Đôi,"Suối Đôi là một con suối đổ ra Sông Mã Đà. Suối có chiều dài 18 km và diện tích lưu vực là 50 km². Suối Đôi chảy qua các tỉnh Bình Phước, Bình Dương."
Bình Dương,Suối Giai,"Suối Giai là một con suối đổ ra Sông Bé. Suối có chiều dài 39 km và diện tích lưu vực là 143 km². Suối Giai chảy qua các tỉnh Bình Phước, Bình Dương."
Bình Dương,Sông Mã Đà,"Sông Mã Đà là một con sông đổ ra Sông Bé. Sông có chiều dài 99 km và diện tích lưu vực là 600 km². Sông Mã Đà chảy qua các tỉnh Đồng Nai, Bình Phước, Bình Dương."
Bình Dương,Sông Nước Trong (Đồng Nai),"Sông Nước Trong là một con sông đổ ra Sông Bé. Sông Nước Trong chảy qua các tỉnh Bình Phước, Bình Dương."
Bình Dương,Suối Ông Thành,"Suối Ông Thành (tên khác: Suối Xóm Hồ) là một con suối đổ ra Sông Thị Tính. Suối có chiều dài 10 km và diện tích lưu vực là 32 km². Suối Ông Thành chảy qua các tỉnh Bình Phước, Bình Dương."
Bình Dương,Suối Rạc,"Suối Rạt (tên khác: Suối Ra) là một con suối đổ ra Sông Bé. Suối có chiều dài 106 km và diện tích lưu vực là 616 km². Suối Rạc chảy qua các tỉnh Bình Phước, Bình Dương."
Bình Dương,Sông Sài Gòn,"Sông Sài Gòn là một phụ lưu của sông Đồng Nai ở Nam Bộ Việt Nam. Sông dài 251 km, bắt nguồn từ tỉnh Bình Phước, chảy qua các tỉnh Tây Ninh, Bình Dương, Thành phố Hồ Chí Minh rồi hợp lưu với sông Đồng Nai."
Bình Dương,Suối Tà Mông,"Suối Tà Mông (tên khác: suối Lấp) là một con suối đổ ra Sông Sài Gòn. Suối có chiều dài 26 km và diện tích lưu vực là 122 km². Suối Tà Mông chảy qua các tỉnh Bình Phước, Bình Dương."
Bình Dương,Suối Thôn,"Suối Thôn (tên khác: suối Cái) là một con suối đổ ra Sông Bé. Suối có chiều dài 21 km và diện tích lưu vực là 127 km². Suối Thôn chảy qua các tỉnh Bình Phước, Bình Dương."
Bình Dương,Sông Thị Tính,"Sông Thị Tính (tên khác: Suối Bà Vã ) là một con sông đổ ra Sông Sài Gòn. Sông Thị Tính chảy qua các tỉnh Bình Phước, Bình Dương."
Bình Định,Sông Cà Tỏng,"Sông Cà Tỏng là một con sông đổ ra Sông Kỳ Lộ. Sông có chiều dài 15 km và diện tích lưu vực là 86 km². Sông Cà Tỏng chảy qua các tỉnh Phú Yên, Gia Lai, Bình Định."
Bình Định,Sông Cô,"Sông Cô (tên khác: Sông Long Ba, Suối Cái) là một con sông đổ ra Sông Kỳ Lộ. Sông có chiều dài 33 km và diện tích lưu vực là 347 km². Sông Cô chảy qua các tỉnh Bình Định, Phú Yên."
Bình Định,Sông Đá Vàng,"Sông Đá Vàng (tên khác: Sông Mun) là một con sông đổ ra Sông Cô. Sông có chiều dài 27 km và diện tích lưu vực là 123 km². Sông Đá Vàng chảy qua các tỉnh Bình Định, Phú Yên."
Bình Định,Sông Đak Ha Way,"Sông Đak Ha Way là một con sông đổ ra sông Đak Pơ Kơ. Sông có chiều dài 52 km và diện tích lưu vực là 719 km². Sông Đắk Po Kor chảy qua các tỉnh Gia Lai, Bình Định."
Bình Định,Sông Đắk Trúc,"Sông Đắk Trúc (tên khác: Sông Đăk Riêng ) là một con sông đổ ra Sông Trà Sơn trong mạng lưới sông Kôn. Sông có chiều dài 18 km và diện tích lưu vực là 83 km². Sông Đắk Trúc chảy qua các tỉnh Gia Lai, Bình Định."
